Id;Designator;Package;Quantity;Designation;Supplier and ref
1;J1,J2,J3,J4,J5,J6,J7;TE_MATE-N-LOK_1-770875-x_2x03_P4.14mm_Vertical;7;Conn_01x06;1-770875-1
2;J8,J9,J10,J11,J12,J13,J14;TE_MATE-N-LOK_1-770874-x_2x02_P4.14mm_Vertical;7;Conn_01x04;770874-1
